No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
435,壯麗,7.0 ,0.632 ,6.4 ,1.744 ,42
436,壯觀,7.0 ,0.632 ,6.8 ,1.327 ,96
437,妓女,2.8 ,0.980 ,4.8 ,1.327 ,47
438,妨害,2.6 ,1.020 ,6.2 ,0.748 ,77
439,妨礙,3.2 ,0.748 ,5.8 ,1.166 ,62
440,孝,7.2 ,1.166 ,4.0 ,1.265 ,18
441,孝順,7.4 ,1.020 ,5.4 ,1.625 ,90
442,孝敬,7.4 ,1.020 ,5.4 ,1.020 ,9
443,完美,7.6 ,0.800 ,6.4 ,1.744 ,171
444,完備,6.8 ,0.748 ,4.8 ,0.980 ,62
445,完善,6.8 ,0.748 ,4.6 ,1.356 ,162
446,宏大,7.0 ,0.632 ,6.0 ,0.894 ,10
447,宏偉,7.2 ,0.980 ,7.0 ,0.632 ,40
448,屁眼,1.8 ,1.166 ,5.6 ,1.356 ,0
449,岔開,4.0 ,1.095 ,4.2 ,1.720 ,4
450,巫婆,3.6 ,0.800 ,5.0 ,1.265 ,32
451,庇護,6.2 ,1.166 ,5.6 ,0.490 ,32
452,弄痛,3.0 ,1.265 ,6.4 ,1.497 ,0
453,弄壞,3.2 ,0.748 ,6.0 ,1.673 ,12
454,忍,3.8 ,0.748 ,5.0 ,1.673 ,65
455,忐忑,3.8 ,0.748 ,6.8 ,0.748 ,5
456,忘恩負義,1.8 ,1.166 ,7.8 ,0.980 ,5
457,快樂,7.2 ,0.400 ,6.4 ,0.800 ,942
458,扭曲,3.6 ,0.800 ,5.2 ,1.600 ,103
459,扶持,6.0 ,1.549 ,4.2 ,1.166 ,38
460,批判,2.6 ,0.490 ,6.8 ,0.400 ,127
461,把握,5.8 ,0.400 ,4.6 ,1.020 ,135
462,抑制,4.8 ,1.166 ,5.4 ,1.855 ,91
463,抑鬱,2.4 ,0.800 ,5.8 ,1.939 ,12
464,投入,6.0 ,0.894 ,5.2 ,1.833 ,506
465,抗爭,3.4 ,1.200 ,7.2 ,0.748 ,101
466,折磨,2.4 ,0.490 ,7.0 ,1.095 ,27
467,改善,6.6 ,0.490 ,5.2 ,1.327 ,978
468,改進,6.2 ,0.748 ,4.6 ,1.855 ,304
469,攻勢,5.2 ,0.400 ,6.4 ,1.200 ,77
470,攻擊,3.6 ,1.020 ,7.4 ,1.200 ,341
471,決心,6.4 ,0.490 ,6.6 ,1.020 ,148
472,決定,6.0 ,1.095 ,7.0 ,0.894 ,1710
473,沉重,3.2 ,0.400 ,5.8 ,0.980 ,54
474,沉迷,3.0 ,0.000 ,5.2 ,1.470 ,13
475,沉著,6.4 ,1.020 ,3.2 ,1.166 ,10
476,災,2.0 ,0.894 ,5.6 ,1.744 ,44
477,牢騷,3.4 ,0.490 ,6.2 ,0.980 ,18
478,狂怒,1.6 ,0.490 ,8.6 ,0.490 ,4
479,狂笑,8.2 ,0.400 ,8.2 ,0.400 ,5
480,狂喜,8.6 ,0.490 ,8.8 ,0.400 ,5
481,狂暴,1.8 ,0.748 ,8.8 ,0.400 ,0
482,狂熱,4.6 ,1.356 ,8.8 ,0.400 ,39
483,狂躁,2.2 ,0.748 ,8.8 ,0.400 ,0
484,私生子,3.2 ,0.748 ,4.0 ,1.265 ,0
485,肝腸寸斷,1.6 ,0.800 ,8.0 ,1.549 ,0
486,良,6.4 ,0.490 ,4.8 ,1.600 ,25
487,走運,7.0 ,0.632 ,5.8 ,1.327 ,0
488,辛酸,2.8 ,0.748 ,6.0 ,1.414 ,29
489,邪惡,2.4 ,0.800 ,6.6 ,1.356 ,29
490,享受,6.6 ,0.490 ,4.8 ,1.327 ,523
491,佳,6.4 ,0.490 ,4.6 ,0.800 ,309
492,使勁,4.6 ,1.356 ,6.4 ,0.800 ,22
493,依戀,5.6 ,1.356 ,5.6 ,1.855 ,13
494,典範,7.2 ,0.748 ,5.4 ,1.625 ,63
495,刺眼,3.2 ,0.748 ,5.6 ,2.059 ,10
496,刺痛,2.8 ,0.980 ,6.6 ,1.497 ,9
497,刺傷,2.8 ,1.166 ,7.0 ,1.265 ,12
498,刺激,4.2 ,1.166 ,8.0 ,0.632 ,183
499,刻薄,2.8 ,0.748 ,6.6 ,1.020 ,10
500,卑劣,2.0 ,0.632 ,8.0 ,0.632 ,0
501,卑鄙,1.8 ,0.748 ,8.2 ,0.748 ,4
502,受不了,3.0 ,0.632 ,7.4 ,0.800 ,100
503,受苦,3.0 ,0.632 ,6.0 ,0.894 ,40
504,受虐,1.8 ,0.400 ,8.0 ,0.632 ,11
505,受害,1.8 ,0.748 ,7.8 ,0.748 ,87
506,受惠,7.0 ,0.000 ,5.4 ,1.020 ,31
507,受傷,2.8 ,0.748 ,5.4 ,1.020 ,186
508,受罪,2.8 ,0.400 ,6.8 ,0.400 ,8
509,受騙,3.0 ,0.632 ,6.4 ,1.020 ,43
510,周到,6.6 ,0.490 ,4.4 ,1.200 ,23
511,呵呵,6.0 ,0.632 ,4.6 ,1.855 ,18
512,呼天搶地,1.8 ,0.748 ,8.8 ,0.400 ,5
513,命運,4.8 ,0.400 ,4.4 ,1.744 ,293
514,咆嘯,3.6 ,1.356 ,8.0 ,0.632 ,0
515,和平,6.4 ,0.800 ,3.2 ,1.600 ,327
516,和善,7.0 ,0.000 ,3.0 ,1.095 ,16
517,和煦,6.8 ,0.400 ,4.0 ,1.265 ,8
518,和睦,6.6 ,1.020 ,4.2 ,1.470 ,19
519,和諧,7.2 ,0.748 ,3.4 ,1.356 ,216
520,和藹,7.4 ,0.490 ,3.4 ,1.356 ,17
521,咒罵,2.4 ,0.490 ,7.4 ,0.490 ,16
522,固執,3.4 ,0.490 ,5.4 ,1.960 ,41
523,坦率,6.6 ,0.490 ,4.6 ,1.497 ,14
524,坦誠,7.0 ,0.000 ,4.2 ,1.470 ,25
525,奇怪,4.2 ,0.400 ,5.2 ,0.400 ,362
526,奇特,5.4 ,0.490 ,5.4 ,0.490 ,71
527,孤,3.4 ,0.490 ,4.6 ,1.497 ,20
528,宜人,6.4 ,0.490 ,3.8 ,1.327 ,27
529,幸運,7.2 ,0.748 ,5.4 ,0.490 ,166
530,幸福,7.8 ,0.748 ,4.0 ,2.191 ,338
531,忠,7.0 ,0.632 ,5.4 ,0.800 ,47
532,忠心,7.4 ,0.490 ,6.2 ,1.166 ,12
533,忠孝,7.4 ,1.200 ,5.8 ,1.166 ,38
534,忠誠,7.2 ,1.166 ,5.8 ,1.470 ,29
535,忠實,7.0 ,1.265 ,5.8 ,1.470 ,59
536,忽略,4.0 ,0.000 ,3.8 ,1.600 ,261
537,忽視,3.2 ,0.400 ,4.8 ,1.600 ,152
538,怕,3.2 ,0.748 ,6.4 ,0.800 ,927
539,怕生,4.0 ,0.000 ,5.2 ,0.748 ,0
540,怕羞,4.2 ,0.400 ,5.4 ,1.356 ,4
541,怡人,6.0 ,0.000 ,4.2 ,1.600 ,5
542,性情,5.2 ,0.400 ,4.4 ,1.744 ,71
543,性騷擾,2.6 ,0.490 ,6.6 ,1.497 ,27
544,怪,3.4 ,0.490 ,4.8 ,1.470 ,111
545,怪異,3.6 ,0.490 ,5.0 ,1.414 ,41
546,怪誕,3.4 ,0.490 ,5.8 ,1.166 ,6
547,承擔,5.2 ,1.166 ,5.4 ,1.356 ,106
548,承諾,6.6 ,0.490 ,5.2 ,1.833 ,61
549,抨擊,2.8 ,0.748 ,7.2 ,0.748 ,60
550,抱歉,4.0 ,0.632 ,3.8 ,0.980 ,50
551,抵制,3.2 ,0.748 ,6.6 ,0.800 ,45
552,拉�,5.2 ,0.400 ,5.6 ,0.800 ,0
553,拋棄,2.6 ,0.490 ,5.8 ,1.470 ,48
554,拙劣,2.6 ,0.800 ,6.2 ,1.720 ,0
555,放任,3.0 ,0.632 ,6.2 ,1.470 ,32
556,放棄,2.6 ,0.490 ,5.8 ,2.135 ,419
557,放肆,2.4 ,0.490 ,7.8 ,0.400 ,11
558,放縱,2.8 ,0.748 ,6.8 ,1.166 ,34
559,放鬆,6.2 ,0.748 ,2.0 ,0.894 ,78
560,昂貴,3.8 ,0.400 ,4.4 ,1.356 ,128
561,明亮,6.6 ,0.490 ,4.0 ,1.265 ,121
562,明智,7.2 ,0.400 ,4.4 ,1.625 ,20
563,昏沉,3.2 ,0.400 ,3.4 ,1.855 ,25
564,昏亂,3.4 ,0.490 ,5.2 ,1.327 ,0
565,昏頭,3.4 ,0.490 ,4.8 ,1.327 ,0
566,易怒,3.2 ,0.980 ,6.6 ,1.020 ,0
567,服從,5.4 ,0.490 ,3.8 ,1.470 ,53
568,枉然,3.4 ,0.490 ,4.2 ,1.600 ,5
569,果斷,6.0 ,0.632 ,6.0 ,0.632 ,15
570,欣欣,6.4 ,0.800 ,6.4 ,1.356 ,5
571,欣喜,7.0 ,0.632 ,7.0 ,0.632 ,24
572,欣然,6.4 ,0.490 ,6.2 ,1.327 ,28
573,欣慰,6.2 ,0.400 ,4.6 ,1.200 ,48
574,欣賞,6.8 ,0.400 ,5.6 ,1.020 ,589
575,歧視,2.8 ,0.400 ,6.8 ,0.748 ,137
576,沮喪,2.8 ,0.748 ,5.2 ,1.833 ,62
577,治療,5.4 ,1.020 ,3.8 ,1.833 ,432
578,沾沾自喜,4.6 ,1.200 ,6.0 ,1.095 ,13
579,泣,3.4 ,0.490 ,5.0 ,1.095 ,4
580,玩耍,6.2 ,0.748 ,5.8 ,1.470 ,40
581,玩笑,5.6 ,1.200 ,6.0 ,0.894 ,33
582,玩樂,6.2 ,1.327 ,6.6 ,0.490 ,26
583,知足,6.6 ,0.490 ,4.2 ,1.939 ,19
584,知識,6.6 ,1.020 ,3.4 ,1.855 ,917
585,空洞,4.0 ,0.632 ,3.2 ,1.166 ,33
586,空虛,3.0 ,0.632 ,4.2 ,1.166 ,50
587,花招,4.0 ,0.632 ,4.8 ,0.748 ,17
588,長處,6.8 ,0.400 ,4.8 ,1.470 ,32
589,非人,3.4 ,1.020 ,5.8 ,0.748 ,11
590,非禮,2.2 ,0.400 ,7.6 ,0.490 ,7
591,非難,3.2 ,0.400 ,5.6 ,0.800 ,0
592,侵犯,2.4 ,0.490 ,6.2 ,2.227 ,97
593,侵佔,2.6 ,0.490 ,6.6 ,1.855 ,26
594,侵害,2.4 ,0.490 ,7.2 ,0.748 ,142
595,侵略,2.4 ,0.490 ,7.8 ,0.748 ,104
596,侵擾,3.0 ,0.000 ,6.8 ,0.400 ,11
597,侵襲,2.6 ,0.490 ,7.8 ,0.400 ,41
598,侷促,4.0 ,0.000 ,5.6 ,1.497 ,10
599,俊美,6.6 ,0.490 ,4.6 ,1.356 ,6
600,俗,3.8 ,0.748 ,4.6 ,0.490 ,19
601,俗氣,3.8 ,0.400 ,4.4 ,0.800 ,10
602,保衛,5.8 ,0.400 ,6.4 ,0.490 ,41
603,保證,6.6 ,0.490 ,6.2 ,0.980 ,202
604,保護,6.8 ,0.980 ,6.8 ,0.400 ,893
605,信心,7.4 ,0.800 ,5.4 ,0.490 ,419
606,信奉,6.6 ,0.800 ,5.2 ,1.327 ,30
607,信義,7.0 ,0.632 ,5.4 ,0.800 ,36
608,信實,6.6 ,0.490 ,4.8 ,0.980 ,7
609,信譽,7.0 ,0.000 ,5.4 ,1.625 ,16
610,冒險,4.8 ,0.980 ,7.6 ,0.490 ,77
611,冠軍,8.0 ,0.000 ,7.4 ,0.490 ,245
612,勇氣,7.6 ,0.800 ,6.8 ,0.980 ,223
613,勇敢,7.4 ,0.800 ,6.6 ,0.490 ,111
614,勉強,3.8 ,0.748 ,5.0 ,0.894 ,130
615,叛亂,2.4 ,0.490 ,7.8 ,0.400 ,45
616,咬牙切齒,2.2 ,0.748 ,8.2 ,0.400 ,12
617,咯咯笑,6.4 ,0.490 ,5.8 ,1.166 ,0
618,哀求,2.8 ,0.400 ,5.6 ,1.497 ,29
619,哀怨,2.8 ,0.748 ,6.0 ,1.549 ,14
620,哀淒,2.6 ,0.800 ,5.6 ,2.154 ,0
621,哀痛,2.4 ,0.490 ,6.6 ,1.356 ,4
622,哀傷,2.4 ,0.490 ,5.4 ,1.960 ,24
623,哀愁,2.4 ,0.490 ,5.4 ,2.059 ,17
624,哀號,2.0 ,0.000 ,7.4 ,0.490 ,7
625,哀慟,1.8 ,0.400 ,7.6 ,0.490 ,0
626,品行,5.4 ,0.800 ,4.6 ,1.356 ,5
627,品德,5.2 ,0.400 ,4.2 ,1.720 ,38
628,哄騙,3.4 ,0.490 ,5.6 ,1.200 ,5
629,哈,5.8 ,0.748 ,5.2 ,1.327 ,294
630,哈哈,6.6 ,1.356 ,6.0 ,0.894 ,135
631,威脅,3.0 ,0.632 ,7.4 ,0.490 ,195
632,威嚴,5.4 ,1.020 ,5.4 ,0.490 ,19
633,帥,6.6 ,0.490 ,5.2 ,1.327 ,26
634,帥氣,7.0 ,0.632 ,6.0 ,1.265 ,17
635,幽默,7.0 ,0.000 ,5.6 ,1.960 ,112
636,後悔,3.2 ,0.748 ,4.2 ,2.400 ,102
637,怒,2.4 ,1.020 ,7.2 ,0.980 ,68
638,怒不,3.8 ,0.837 ,5.8 ,1.095 ,0
639,怒火,2.4 ,0.490 ,7.6 ,0.800 ,10
640,怒斥,2.0 ,0.632 ,8.6 ,0.490 ,0
641,怒目,2.6 ,0.490 ,8.0 ,0.632 ,0
642,怒色,2.8 ,0.400 ,7.4 ,1.020 ,0
643,怒吼,2.0 ,0.894 ,8.8 ,0.400 ,11
644,怒氣,2.4 ,0.490 ,7.8 ,0.400 ,22
645,怒視,2.4 ,0.490 ,8.0 ,0.632 ,0
646,怒罵,1.8 ,0.748 ,8.8 ,0.400 ,0
647,思,4.4 ,0.800 ,4.8 ,0.980 ,75
648,思念,4.4 ,1.020 ,4.4 ,1.625 ,40
649,思鄉,3.8 ,0.748 ,5.8 ,0.748 ,15
650,恍惚,3.8 ,0.400 ,3.8 ,1.470 ,25
651,恨,2.4 ,0.800 ,7.2 ,0.980 ,108
652,恬,5.4 ,0.800 ,3.6 ,2.154 ,0
653,恰當,6.0 ,0.632 ,4.2 ,1.470 ,77
654,拮据,3.2 ,0.400 ,3.8 ,1.470 ,17
655,拯救,6.4 ,0.800 ,6.6 ,1.020 ,47
656,拷打,2.6 ,0.800 ,7.6 ,0.490 ,0
657,拷問,2.8 ,0.748 ,7.0 ,0.000 ,0
658,拼命,5.2 ,0.980 ,7.6 ,0.490 ,58
659,挑剔,3.8 ,0.748 ,5.4 ,1.356 ,39
660,挑戰,6.2 ,0.748 ,6.8 ,0.400 ,300
661,挑釁,3.2 ,0.400 ,6.8 ,0.400 ,22
662,挖苦,3.4 ,0.490 ,5.8 ,0.748 ,0
663,柔,5.2 ,0.400 ,3.0 ,1.673 ,23
664,柔軟,5.8 ,0.400 ,3.4 ,1.020 ,61
665,柔順,5.8 ,0.400 ,3.2 ,1.166 ,10
666,柔腸寸斷,1.8 ,0.748 ,7.8 ,0.748 ,0
667,歪曲,3.6 ,0.490 ,4.0 ,1.414 ,0
668,毒,2.8 ,0.748 ,5.8 ,0.980 ,102
669,洩氣,3.6 ,0.490 ,3.6 ,1.625 ,15
670,活力,6.6 ,0.490 ,6.2 ,0.980 ,187
671,活潑,6.8 ,0.400 ,6.4 ,0.800 ,260
672,活躍,6.4 ,0.800 ,7.6 ,0.800 ,66
673,流行,5.6 ,0.490 ,5.2 ,0.400 ,501
674,流淚,3.2 ,0.748 ,5.4 ,1.960 ,0
675,炫耀,3.8 ,0.400 ,6.0 ,0.894 ,44
676,為難,3.4 ,0.490 ,4.8 ,1.327 ,44
677,狠心,2.4 ,0.490 ,7.4 ,0.490 ,12
678,珍奇,6.8 ,0.400 ,5.8 ,1.470 ,14
679,珍惜,7.0 ,0.632 ,5.0 ,1.673 ,139
680,珍視,7.0 ,0.632 ,5.2 ,1.939 ,9
681,珍貴,7.0 ,0.632 ,5.4 ,1.356 ,174
682,珍愛,7.2 ,0.748 ,6.0 ,1.789 ,4
683,珍藏,6.6 ,0.800 ,5.4 ,2.245 ,27
684,盼望,6.2 ,1.327 ,5.4 ,1.855 ,77
685,看不起,3.2 ,0.748 ,6.0 ,1.095 ,30
686,約束,4.6 ,0.490 ,4.6 ,1.356 ,84
687,美人,6.0 ,0.632 ,5.4 ,1.855 ,40
688,美好,6.8 ,0.400 ,5.6 ,1.356 ,275
689,美妙,7.0 ,0.632 ,6.2 ,1.600 ,57
690,美味,6.8 ,0.748 ,5.6 ,1.020 ,43
691,美夢,6.8 ,0.748 ,5.8 ,2.040 ,0
692,美滿,7.4 ,0.490 ,6.4 ,1.744 ,51
693,美德,7.4 ,1.020 ,5.2 ,2.315 ,47
694,美麗,7.2 ,0.400 ,5.8 ,2.135 ,656
695,背叛,2.0 ,0.632 ,8.0 ,0.894 ,26
696,胡扯,3.0 ,0.632 ,7.6 ,0.490 ,8
697,致命,2.0 ,0.632 ,7.8 ,0.748 ,48
698,苛求,3.0 ,0.632 ,6.6 ,1.020 ,13
699,若無其事,4.0 ,0.632 ,4.6 ,1.855 ,9
700,苦,3.2 ,0.748 ,4.6 ,1.356 ,310
701,苦惱,3.2 ,0.400 ,5.0 ,1.673 ,45
702,英俊,6.6 ,0.800 ,4.4 ,2.059 ,33
703,英勇,7.0 ,0.632 ,6.6 ,0.800 ,34
704,英雄,7.6 ,0.800 ,7.0 ,1.414 ,242
705,虐待,2.2 ,0.400 ,7.4 ,0.800 ,55
706,負心,2.4 ,0.490 ,6.2 ,2.227 ,0
707,負債,3.2 ,0.400 ,6.0 ,1.265 ,21
708,負擔,3.6 ,0.490 ,5.2 ,1.166 ,245
709,迫害,2.2 ,0.748 ,7.4 ,0.490 ,50
710,重大,4.8 ,0.400 ,7.2 ,0.748 ,450
711,重擔,3.8 ,0.748 ,7.2 ,0.400 ,29
712,陌生,4.0 ,0.632 ,3.8 ,1.166 ,123
713,降級,3.6 ,0.490 ,5.8 ,2.040 ,0
714,面臨,4.8 ,0.400 ,5.8 ,1.470 ,641
715,風險,3.8 ,0.748 ,6.4 ,1.200 ,197
716,首要,5.2 ,0.400 ,5.0 ,1.673 ,76
717,首創,5.4 ,0.800 ,5.6 ,2.059 ,37
718,倒楣,3.2 ,0.748 ,5.4 ,1.356 ,43
719,倒霉,3.2 ,0.748 ,5.4 ,1.356 ,11
720,倔強,4.2 ,1.166 ,6.4 ,0.800 ,17
721,值得,6.4 ,0.800 ,5.6 ,1.356 ,957
722,值錢,6.2 ,0.748 ,5.6 ,1.200 ,22
723,凌亂,3.4 ,0.490 ,6.0 ,0.894 ,31
724,剝奪,3.0 ,0.894 ,6.6 ,1.020 ,39
725,哭泣,2.8 ,0.748 ,6.6 ,0.800 ,38
726,哭喊,2.8 ,0.748 ,7.8 ,0.748 ,4
727,哭訴,2.8 ,0.748 ,6.8 ,0.400 ,12
728,哭鬧,2.8 ,0.748 ,7.4 ,0.490 ,14
729,哽咽,3.0 ,0.894 ,6.4 ,1.020 ,11
730,唐突,3.6 ,0.490 ,5.4 ,1.020 ,0
731,奚落,3.2 ,0.748 ,6.0 ,1.549 ,8
732,娛樂,6.4 ,0.490 ,6.2 ,1.600 ,199
733,害怕,3.2 ,0.400 ,5.6 ,1.497 ,261
734,害羞,4.2 ,1.166 ,4.6 ,1.356 ,62
735,容光煥發,7.2 ,0.400 ,5.0 ,2.098 ,6
736,容忍,3.6 ,1.020 ,5.6 ,1.020 ,58
737,差,3.4 ,0.800 ,4.6 ,1.356 ,519
738,差勁,3.4 ,0.800 ,6.8 ,0.748 ,13
739,弱,3.8 ,0.400 ,4.6 ,1.625 ,127
740,弱點,3.8 ,0.400 ,4.8 ,1.600 ,47
741,徒勞無功,3.4 ,0.490 ,4.4 ,1.356 ,0
742,恐怖,3.0 ,0.632 ,6.8 ,0.400 ,127
743,恐慌,3.0 ,0.632 ,7.0 ,0.894 ,60
744,恐嚇,2.4 ,0.800 ,7.4 ,0.800 ,125
745,恐懼,2.6 ,0.800 ,6.8 ,0.748 ,149
746,恩典,6.8 ,0.400 ,4.6 ,1.356 ,0
747,恩惠,6.4 ,0.490 ,5.0 ,1.673 ,10
748,恭維,5.0 ,0.632 ,4.6 ,1.356 ,11
749,悔之,4.2 ,1.470 ,5.6 ,1.356 ,0
750,悔改,4.0 ,0.894 ,6.0 ,1.549 ,12
751,悔恨,2.8 ,1.166 ,7.4 ,0.490 ,11
752,悔悟,3.2 ,0.980 ,7.0 ,0.632 ,0
753,悔意,3.0 ,0.000 ,5.8 ,0.748 ,0
754,悔過,2.8 ,0.400 ,6.2 ,1.166 ,5
755,挫折,3.0 ,0.632 ,5.0 ,1.897 ,234
756,挫敗,3.0 ,0.632 ,6.8 ,1.166 ,23
757,振奮,7.2 ,0.748 ,7.0 ,0.632 ,30
758,捐贈,6.4 ,0.800 ,5.2 ,1.720 ,69
759,效率,6.2 ,0.980 ,4.8 ,1.600 ,504
760,時髦,6.4 ,0.490 ,5.2 ,1.720 ,54
761,書呆子,3.6 ,0.490 ,4.2 ,1.166 ,7
762,栩栩如生,6.8 ,0.980 ,5.4 ,1.960 ,20
763,氣急敗壞,2.4 ,0.490 ,7.8 ,0.400 ,12
764,氣憤,2.4 ,0.490 ,7.0 ,0.632 ,49
765,氣餒,2.8 ,0.980 ,4.0 ,1.265 ,13
766,浪漫,6.6 ,1.020 ,6.0 ,1.095 ,207
767,消沉,3.4 ,0.490 ,4.2 ,1.720 ,4
768,消極,3.2 ,0.748 ,4.0 ,2.280 ,106
769,消滅,3.6 ,1.020 ,6.0 ,1.265 ,80
770,狹小,3.8 ,0.400 ,4.0 ,1.673 ,47
771,狹隘,3.8 ,0.400 ,4.2 ,1.470 ,32
772,疲乏,3.0 ,0.894 ,3.8 ,1.939 ,13
773,疲於奔R,2.4 ,1.020 ,6.0 ,1.095 ,20
774,疲倦,3.0 ,0.894 ,4.0 ,1.673 ,54
775,疲弱,3.0 ,0.894 ,3.6 ,1.356 ,5
776,疲累,3.0 ,0.894 ,3.6 ,1.356 ,18
777,疲勞,3.0 ,0.894 ,3.8 ,1.166 ,39
778,疲憊,3.0 ,0.894 ,3.6 ,1.356 ,34
779,疼痛,3.4 ,0.490 ,6.0 ,0.894 ,75
780,疼愛,7.0 ,0.894 ,6.4 ,1.200 ,27
781,益處,6.6 ,0.490 ,5.2 ,1.327 ,24
782,真心,7.0 ,0.894 ,5.6 ,2.059 ,44
783,真相,6.4 ,1.020 ,5.4 ,1.497 ,119
784,真理,6.4 ,1.020 ,5.6 ,1.744 ,191
785,真誠,7.0 ,0.632 ,5.0 ,1.095 ,75
786,真實,6.0 ,0.894 ,4.6 ,1.356 ,322
787,破滅,3.0 ,0.632 ,7.0 ,1.095 ,17
788,破壞,2.8 ,0.748 ,6.8 ,0.980 ,517
789,祝賀,7.0 ,0.632 ,6.2 ,1.166 ,27
790,祝福,6.6 ,0.490 ,5.8 ,1.470 ,67
791,神經病,2.8 ,0.748 ,6.4 ,1.020 ,17
792,神經質,3.2 ,0.400 ,5.6 ,1.497 ,21
793,神聖,7.2 ,0.748 ,5.0 ,1.673 ,66
794,笑,6.8 ,0.748 ,5.8 ,0.980 ,683
795,笑死,5.4 ,1.960 ,7.0 ,0.894 ,10
796,笑容,7.2 ,0.980 ,5.2 ,1.720 ,135
797,笑話,5.8 ,0.748 ,4.8 ,1.600 ,124
798,紛爭,3.0 ,0.632 ,6.6 ,1.020 ,53
799,缺少,3.6 ,0.490 ,4.4 ,1.200 ,118
800,缺乏,3.4 ,0.490 ,4.6 ,1.356 ,768
801,缺失,3.6 ,0.490 ,4.4 ,1.744 ,94
802,缺陷,3.0 ,0.632 ,4.6 ,1.855 ,57
803,缺德,2.8 ,0.748 ,6.8 ,1.166 ,7
804,缺憾,2.6 ,0.800 ,6.2 ,2.227 ,29
805,缺點,3.6 ,0.490 ,4.6 ,1.356 ,249
806,能幹,6.8 ,0.748 ,6.0 ,1.549 ,55
807,脅迫,2.6 ,0.490 ,7.2 ,0.400 ,20
808,脆弱,3.4 ,0.490 ,4.6 ,1.744 ,59
809,臭,3.8 ,0.400 ,4.6 ,1.625 ,86
810,臭味,3.8 ,0.400 ,5.0 ,1.673 ,9
811,臭氣,3.6 ,0.490 ,5.4 ,1.855 ,9
812,茫然,3.4 ,0.800 ,3.4 ,1.744 ,46
813,草率,3.4 ,0.800 ,4.8 ,1.327 ,32
814,荒唐,2.8 ,0.748 ,6.8 ,0.400 ,31
815,荒謬,2.6 ,1.020 ,7.2 ,0.748 ,68
816,虔誠,6.6 ,0.800 ,5.4 ,1.855 ,54
817,衰,3.6 ,0.490 ,4.2 ,1.166 ,43
818,衰老,3.4 ,0.490 ,4.2 ,1.470 ,19
819,衰弱,3.2 ,0.400 ,5.0 ,2.098 ,26
820,衰退,3.2 ,0.400 ,5.0 ,1.789 ,75
821,衰敗,3.0 ,0.632 ,6.2 ,2.227 ,23
822,衰微,3.2 ,0.400 ,4.8 ,1.470 ,6
823,衷心,6.6 ,0.490 ,5.4 ,1.356 ,33
824,討喜,6.8 ,0.400 ,6.0 ,1.095 ,5
825,迴避,3.6 ,0.490 ,5.0 ,1.673 ,47
826,迷人,6.8 ,0.400 ,6.2 ,1.166 ,96
827,迷失,3.4 ,0.490 ,4.6 ,1.356 ,40
828,迷惘,3.4 ,0.490 ,5.0 ,2.098 ,25
829,迷惑,3.4 ,0.490 ,4.6 ,1.020 ,47
830,迷亂,3.2 ,1.166 ,6.2 ,0.748 ,4
831,迷路,4.2 ,0.980 ,5.2 ,1.833 ,18
832,迷戀,4.4 ,1.020 ,6.2 ,1.720 ,15
833,逃離,4.0 ,0.000 ,6.2 ,0.980 ,27
834,逆向,4.0 ,1.095 ,4.4 ,2.059 ,11
835,高貴,6.6 ,0.800 ,4.0 ,1.414 ,48
836,高階,5.8 ,0.748 ,3.8 ,1.939 ,141
837,高雅,7.0 ,0.632 ,4.0 ,1.789 ,28
838,高傲,3.2 ,0.980 ,6.0 ,1.549 ,8
839,高興,7.0 ,0.632 ,6.6 ,1.020 ,668
840,假裝,4.2 ,0.748 ,4.6 ,0.490 ,46
841,偉大,7.2 ,0.748 ,6.6 ,1.356 ,259
842,偏心,3.2 ,0.400 ,5.4 ,1.356 ,14
843,偏好,5.2 ,0.400 ,4.0 ,1.789 ,51
844,偏見,3.4 ,0.490 ,5.6 ,0.490 ,41
845,偏執,3.6 ,0.800 ,5.6 ,1.855 ,10
846,偏愛,5.0 ,0.632 ,4.8 ,1.327 ,31
847,偷,2.4 ,0.800 ,5.0 ,1.673 ,110
848,偷取,2.4 ,0.800 ,6.4 ,1.020 ,4
849,偷竊,2.4 ,0.800 ,7.0 ,1.414 ,38
850,偽造,2.6 ,0.800 ,6.0 ,0.894 ,51
851,動人,6.8 ,0.400 ,6.2 ,0.748 ,101
852,動聽,7.0 ,0.632 ,6.6 ,1.200 ,22
853,啜泣,3.0 ,0.632 ,6.8 ,0.748 ,9
854,執拗,3.6 ,0.490 ,6.0 ,0.632 ,4
855,堅決,5.4 ,0.490 ,6.2 ,1.327 ,88
856,堅定,6.2 ,0.980 ,6.4 ,1.497 ,108
857,堅強,6.8 ,0.748 ,6.2 ,1.327 ,97
858,娼妓,2.8 ,0.980 ,5.8 ,1.600 ,5
859,寂寞,3.2 ,0.400 ,4.6 ,2.059 ,196
860,寂寥,3.2 ,0.748 ,2.4 ,1.200 ,12
861,崇拜,6.4 ,0.800 ,6.8 ,0.748 ,206
862,崇高,7.2 ,0.748 ,6.4 ,1.497 ,46
863,強,6.4 ,0.490 ,5.4 ,1.356 ,669
864,強力,6.2 ,0.748 ,6.4 ,1.356 ,80
865,強壯,6.8 ,0.748 ,5.4 ,1.020 ,52
866,強姦,1.4 ,0.800 ,8.4 ,0.800 ,15
